iata_code,icao_code,anac_code,name,city
AEP,SABE,AER,Aeroparque Jorge Newbery,Buenos Aires
EZE,SAEZ,EZE,Ezeiza Ministro Pistarini,Buenos Aires
COR,SACO,CBA,Córdoba / Ambrosio Taravella,Córdoba
MDZ,SAMM,DOZ,Mendoza / El Plumerillo,Mendoza
BRC,SAZS,BAR,San Carlos de Bariloche,Bariloche
IGR,SARI,IGU,Puerto Iguazú,Puerto Iguazú
SLA,SASA,SAL,Salta / Martín Miguel de Güemes,Salta
NQN,SAZN,NEU,Neuquén / Presidente Perón,Neuquén
TUC,SANT,TUC,Tucumán / Benjamín Matienzo,Tucumán
USH,SAWH,USU,Ushuaia / Malvinas Argentinas,Ushuaia
FTE,SAWC,CAL,El Calafate / Armando Tola,El Calafate
JUJ,SASJ,JUJ,Jujuy / Horacio Guzmán,San Salvador de Jujuy
PSS,SARP,POS,Posadas / Libertador San Martín,Posadas
CNQ,SARC,CRR,Corrientes / Piragine Niveyro,Corrientes
RES,SARE,SIS,Resistencia,Resistencia
UAQ,SANU,JUA,San Juan / Domingo F. Sarmiento,San Juan
LUQ,SAOU,UIS,San Luis / Brigadier Mayor Ojeda,San Luis
CTC,SANC,CAT,Catamarca / Felipe Varela,Catamarca
IRJ,SANL,LAR,La Rioja / Capitán Almandos Almonacid,La Rioja
SDE,SANE,SDE,Santiago del Estero,Santiago del Estero
TMM,SAST,TRH,Termas de Río Hondo,Termas de Río Hondo
SFN,SAAV,SVO,Santa Fe / Sauce Viejo,Santa Fe
PRA,SAAP,PAR,Paraná / General Urquiza,Paraná
ROS,SAAR,ROS,Rosario / Islas Malvinas,Rosario
VDM,SAVN,VIE,Viedma / Gobernador Castello,Viedma
BHI,SAZB,BAI,Bahía Blanca / Comandante Espora,Bahía Blanca
MDQ,SAZM,MDP,Mar del Plata / Astor Piazzolla,Mar del Plata
REL,SAVT,TRW,Trelew / Almirante Zar,Trelew
PMY,SAVY,MAD,Puerto Madryn / El Tehuelche,Puerto Madryn
CRV,SAVC,CRV,Comodoro Rivadavia,Comodoro Rivadavia
RGL,SAWG,GAL,Río Gallegos,Río Gallegos
RGA,SAWE,GRA,Río Grande,Río Grande
CPC,SAZY,CHA,San Martín de los Andes / Chapelco,San Martín de los Andes
EQS,SAVV,ESQ,Esquel,Esquel
LGS,SAMO,MAL,Malargüe,Malargüe
AFA,SAMR,SRA,San Rafael,San Rafael
VME,SAOR,VME,Villa Mercedes,Villa Mercedes
GPO,SAAG,GIC,General Pico,General Pico
RSA,SAWR,OSA,Santa Rosa,Santa Rosa
VVI,SLVR,N/A,Santa Cruz de la Sierra,Santa Cruz (Bolivia)
LPB,SLLP,N/A,La Paz / El Alto,La Paz (Bolivia)
SCL,SCEL,N/A,Santiago de Chile,Santiago (Chile)
MVD,SUMU,N/A,Montevideo / Carrasco,Montevideo (Uruguay)
PDP,SULS,N/A,Punta del Este,Punta del Este (Uruguay)
ASU,SGAS,N/A,Asunción / Silvio Pettirossi,Asunción (Paraguay)
GRU,SBGR,N/A,San Pablo / Guarulhos,San Pablo (Brasil)
GIG,SBGL,N/A,Río de Janeiro / Galeão,Río de Janeiro (Brasil)
FLN,SBFL,N/A,Florianópolis,Florianópolis (Brasil)
SSA,SBSV,N/A,Salvador de Bahía,Salvador (Brasil)
MCZ,SBMO,N/A,Maceió,Maceió (Brasil)
REC,SBRF,N/A,Recife,Recife (Brasil)
FOR,SBFZ,N/A,Fortaleza,Fortaleza (Brasil)
LIM,SPJC,N/A,Lima / Jorge Chávez,Lima (Perú)
BOG,SKBO,N/A,Bogotá / El Dorado,Bogotá (Colombia)
UIO,SEQM,N/A,Quito / Mariscal Sucre,Quito (Ecuador)
PTY,MPTO,N/A,Panamá / Tocumen,Panamá (Panamá)
CUN,MMUN,N/A,Cancún,Cancún (México)
MEX,MMMX,N/A,Ciudad de México,Ciudad de México (México)
PUJ,MDPC,N/A,Punta Cana,Punta Cana (Rep. Dominicana)
HAV,MUHA,N/A,La Habana / José Martí,La Habana (Cuba)
MIA,KMIA,N/A,Miami International,Miami (USA)
JFK,KJFK,N/A,Nueva York / JFK,Nueva York (USA)
MAD,LEMD,LEMD,Madrid / Barajas,Madrid (España)
FCO,LIRF,N/A,Roma / Fiumicino,Roma (Italia)
